company_id,year,ROE,EPS,OPM,Performance_Score
LTIM,2022,27.65,225.0,20.0,84.56
ULTRACEMCO,2024,11.63,243.0,18.0,82.952
SHREECEM,2014,16.71,226.0,24.0,81.684
BAJAJ-AUTO,2023,20.64,214.0,18.0,77.85600000000001
BAJAJ-AUTO,2023,20.64,214.0,18.0,77.85600000000001
ABB,2019,22.41,212.0,16.0,77.36399999999999
ABB,2019,22.41,212.0,16.0,77.36399999999999
BAJAJ-AUTO,2022,20.65,213.0,16.0,76.96
BAJAJ-AUTO,2022,20.65,213.0,16.0,76.96
IRFC,2017,7.779999999999999,143.0,100.0,76.012
LTIM,2013,41.97,174.0,23.0,75.888
BOSCHLTD,2020,7.01,220.0,15.0,73.304
ULTRACEMCO,2020,14.73,199.0,22.0,72.192
ABB,2018,23.69,189.0,16.0,70.976
ABB,2018,23.69,189.0,16.0,70.976
ULTRACEMCO,2021,12.36,189.0,26.0,69.444
BAJAJ-AUTO,2020,24.06,180.0,17.0,68.724
BAJAJ-AUTO,2020,24.06,180.0,17.0,68.724
NESTLEIND,2024,117.75,41.0,24.0,66.6
MARUTI,2016,17.95,182.0,16.0,66.58
TCS,2024,50.94,127.0,27.0,66.576
NESTLEIND,2023,121.96,31.0,23.0,64.984
BAJAJ-AUTO,2019,21.21,170.0,17.0,64.584
BAJAJ-AUTO,2019,21.21,170.0,17.0,64.584
MARUTI,2020,11.49,188.0,10.0,63.995999999999995
LT,2024,77.66999999999999,95.0,14.0,63.768
BAJAJ-AUTO,2021,17.81,168.0,18.0,62.924
BAJAJ-AUTO,2021,17.81,168.0,18.0,62.924
ULTRACEMCO,2023,9.34,175.0,17.0,61.336
LTIM,2024,22.9,155.0,18.0,61.059999999999995
TCS,2023,46.78,115.0,26.0,61.012
LTIM,2023,26.58,149.0,18.0,60.73199999999999
EICHERMOT,2024,22.17,146.0,26.0,60.467999999999996
BRITANNIA,2023,65.53,96.0,17.0,60.112
BAJAJ-AUTO,2016,28.97,140.0,21.0,59.888
BAJAJ-AUTO,2016,28.97,140.0,21.0,59.888
BAJAJ-AUTO,2018,20.66,146.0,19.0,57.764
BAJAJ-AUTO,2018,20.66,146.0,19.0,57.764
BAJAJ-AUTO,2017,22.84,141.0,20.0,57.436
BAJAJ-AUTO,2017,22.84,141.0,20.0,57.436
NESTLEIND,2021,108.84,22.0,24.0,57.336
LT,2023,75.52,75.0,15.0,57.208
TCS,2022,43.13,105.0,28.0,57.152
DIVISLAB,2022,25.24,112.0,43.0,56.596
NESTLEIND,2020,103.12,22.0,24.0,55.048
BOSCHLTD,2021,4.91,164.0,12.0,54.763999999999996
BAJAJ-AUTO,2014,33.23999999999999,117.0,21.0,54.696
BAJAJ-AUTO,2014,33.23999999999999,117.0,21.0,54.696
RECLTD,2024,20.4,54.0,101.0,54.66
NESTLEIND,2019,102.61,20.0,24.0,54.244
BRITANNIA,2024,54.15,89.0,19.0,54.06
BAJAJ-AUTO,2013,38.85,108.0,18.0,53.339999999999996
BAJAJ-AUTO,2013,38.85,108.0,18.0,53.339999999999996
NESTLEIND,2022,97.23,25.0,22.0,52.992000000000004
LT,2022,72.92,62.0,16.0,52.568
LICI,2023,77.86,65.0,4.0,51.84400000000001
ABB,2017,19.97,130.0,14.0,51.188
ABB,2017,19.97,130.0,14.0,51.188
LTIM,2021,26.53,111.0,22.0,50.512
TCS,2021,37.66999999999999,88.0,28.0,49.867999999999995
BRITANNIA,2021,52.17,77.0,19.0,49.668000000000006
TCS,2020,38.57,86.0,27.0,49.328
MARUTI,2021,8.36,145.0,8.0,49.244
RECLTD,2023,19.21,42.0,95.0,48.784
ABB,2016,21.34,120.0,14.0,48.736000000000004
ABB,2016,21.34,120.0,14.0,48.736000000000004
MARUTI,2015,15.66,126.0,14.0,48.264
BAJAJ-AUTO,2015,27.27,105.0,19.0,48.108000000000004
BAJAJ-AUTO,2015,27.27,105.0,19.0,48.108000000000004
TORNTPHARM,2016,49.6,51.0,41.0,47.44
TCS,2019,35.29,84.0,27.0,47.416000000000004
BRITANNIA,2022,59.27,63.0,16.0,47.408
TATAMOTORS,2024,37.46,94.0,14.0,47.384
EICHERMOT,2023,19.44,107.0,24.0,47.07600000000001
ABB,2015,24.44,108.0,14.0,46.376000000000005
ABB,2015,24.44,108.0,14.0,46.376000000000005
ADANIPOWER,2024,48.28,54.0,36.0,46.312
SHREECEM,2015,8.07,122.0,21.0,46.128
JSWSTEEL,2022,31.11,85.0,27.0,46.044000000000004
RECLTD,2022,19.56,38.0,88.0,45.623999999999995
NAUKRI,2021,26.28,110.0,7.0,45.612
GRASIM,2022,14.8,111.0,21.0,45.519999999999996
RECLTD,2021,19.14,32.0,91.0,44.556
LTIM,2019,30.98,87.0,20.0,44.492
SIEMENS,2016,42.83,82.0,9.0,44.432
ULTRACEMCO,2013,17.65,98.0,24.0,43.66
RECLTD,2014,22.79,18.0,97.0,43.616
DIVISLAB,2021,21.34,75.0,41.0,43.336
MARUTI,2022,7.01,128.0,7.0,43.304
EICHERMOT,2019,24.7,81.0,30.0,43.18
LTIM,2020,28.13,87.0,19.0,43.052
RECLTD,2015,21.31,20.0,94.0,42.724
RECLTD,2016,19.7,22.0,93.0,42.379999999999995
RECLTD,2013,21.87,15.0,97.0,42.348
RECLTD,2017,18.75,24.0,92.0,42.3
EICHERMOT,2018,27.88,72.0,31.0,42.05199999999999
ABB,2014,25.13,93.0,12.0,41.552
ABB,2014,25.13,93.0,12.0,41.552
RECLTD,2019,16.62,22.0,93.0,41.147999999999996
GRASIM,2023,14.07,100.0,18.0,41.028
LICI,2024,49.45,66.0,4.0,40.78
TCS,2016,34.23999999999999,62.0,28.0,40.69599999999999
ULTRACEMCO,2017,11.13,99.0,21.0,40.452
TCS,2017,30.57,67.0,27.0,40.428000000000004
M&M,2024,18.54,91.0,18.0,40.116
EICHERMOT,2017,31.19,61.0,31.0,40.076
TCS,2018,30.4,67.0,26.0,40.059999999999995
POWERGRID,2022,22.07,18.0,86.0,40.028000000000006
POWERGRID,2022,22.07,18.0,86.0,40.028000000000006
TCS,2014,39.3,49.0,31.0,39.72
PFC,2024,26.16,60.0,37.0,39.564
TCS,2015,39.62,51.0,26.0,38.94799999999999
POWERGRID,2023,18.57,17.0,87.0,38.628
POWERGRID,2023,18.57,17.0,87.0,38.628
POWERGRID,2024,17.87,17.0,87.0,38.348
POWERGRID,2024,17.87,17.0,87.0,38.348
M&M,2023,20.18,83.0,17.0,38.072
INFY,2024,29.79,63.0,24.0,38.016
EICHERMOT,2016,36.63,49.0,27.0,37.452
RECLTD,2020,14.05,19.0,87.0,37.42
