company_id,year,return_on_equity_pct
HEROMOTOCO,2022,14.7
AMBUJACEM,2012,14.69
TORNTPHARM,2018,14.67
KOTAKBANK,2013,14.66
AMBUJACEM,2021,14.64
HDFCBANK,2019,14.61
ICICIBANK,2022,14.58
ULTRACEMCO,2022,14.54
CANBK,2023,14.53
JSWENERGY,2013,14.52
BANKBARODA,2013,14.51
LODHA,2017,14.48
ADANIENSOL,2021,14.46
HDFCBANK,2024,14.34
DIVISLAB,2023,14.29
BANKBARODA,2023,14.28
INDUSINDBK,2024,14.25
TATAPOWER,2019,14.24
GAIL,2019,14.24
UNIONBANK,2024,14.14
ADANIENSOL,2017,14.12
GRASIM,2023,14.07
BOSCHLTD,2013,14.06
RECLTD,2020,14.05
KOTAKBANK,2024,14.01
KOTAKBANK,2015,14.01
SBILIFE,2021,14.0
CIPLA,2014,13.97
INDUSINDBK,2013,13.91
DRREDDY,2019,13.9
JINDALSTEL,2013,13.89
INDUSINDBK,2017,13.89
BAJAJHLDNG,2017,13.88
SHRIRAMFIN,2020,13.85
SHRIRAMFIN,2023,13.84
ICICIGI,2022,13.83
IOC,2016,13.8
IRFC,2023,13.8
SIEMENS,2014,13.78
ADANIENSOL,2016,13.77
BOSCHLTD,2018,13.74
GRASIM,2014,13.67
RECLTD,2018,13.66
AMBUJACEM,2020,13.65
APOLLOHOSP,2023,13.62
M&M,2017,13.6
BAJAJHLDNG,2024,13.58
DMART,2024,13.56
POWERGRID,2016,13.55
POWERGRID,2016,13.55
GRASIM,2017,13.53
INDUSINDBK,2023,13.53
AMBUJACEM,2013,13.51
APOLLOHOSP,2024,13.48
M&M,2016,13.42
JINDALSTEL,2024,13.41
JINDALSTEL,2021,13.41
KOTAKBANK,2023,13.35
ADANIGREEN,2023,13.32
BANKBARODA,2014,13.31
EICHERMOT,2022,13.3
SIEMENS,2022,13.29
AMBUJACEM,2018,13.29
MARUTI,2014,13.28
NTPC,2024,13.27
KOTAKBANK,2014,13.24
TATASTEEL,2019,13.23
TATAPOWER,2023,13.23
TATAPOWER,2024,13.23
SBILIFE,2023,13.22
POWERGRID,2015,13.13
POWERGRID,2015,13.13
POWERGRID,2014,13.11
POWERGRID,2014,13.11
M&M,2015,13.08
NTPC,2014,13.06
TORNTPHARM,2022,13.05
CIPLA,2021,13.04
KOTAKBANK,2017,13.04
IRFC,2024,13.04
TATAMOTORS,2017,13.02
TITAN,2021,12.99
DRREDDY,2020,12.99
MARUTI,2013,12.98
SBILIFE,2022,12.96
BOSCHLTD,2023,12.93
APOLLOHOSP,2020,12.93
INDUSINDBK,2016,12.92
ICICIBANK,2021,12.92
KOTAKBANK,2020,12.9
RELIANCE,2016,12.9
ULTRACEMCO,2014,12.88
GAIL,2024,12.86
CHOLAFIN,2020,12.85
IRCTC,2021,12.84
ADANIGREEN,2024,12.81
ONGC,2018,12.78
INDUSINDBK,2020,12.73
SHREECEM,2023,12.71
SBILIFE,2024,12.7
BHARTIARTL,2015,12.69
DLF,2018,12.68
GRASIM,2016,12.6
NTPC,2019,12.6
NTPC,2022,12.53
KOTAKBANK,2022,12.51
NAUKRI,2013,12.5
MOTHERSON,2021,12.49
BHARTIARTL,2022,12.48
DMART,2017,12.47
KOTAKBANK,2019,12.47
ADANIENSOL,2022,12.47
KOTAKBANK,2018,12.4
UNIONBANK,2013,12.39
INDUSINDBK,2019,12.37
ULTRACEMCO,2021,12.36
GODREJCP,2023,12.34
IRFC,2021,12.3
RELIANCE,2018,12.29
CIPLA,2022,12.22
NTPC,2015,12.17
SIEMENS,2019,12.14
CIPLA,2023,12.1
CIPLA,2016,12.01
NHPC,2017,11.99
BAJFINANCE,2021,11.97
DMART,2013,11.91
CANBK,2013,11.9
NTPC,2021,11.9
ADANIPORTS,2023,11.88
ADANIPORTS,2023,11.88
KOTAKBANK,2021,11.85
ADANIPORTS,2022,11.84
