company_id,year,sales,operating_profit,opm_percentage
HDFCLIFE,2017.0,30647.0,29674.0,972.0
HDFCLIFE,2016.0,18141.0,17187.0,953.0
INDUSINDBK,2018.0,17281.0,6555.0,942.0
ICICIGI,2017.0,7520.0,6601.0,919.0
BANKBARODA,2015.0,44915.0,13466.0,902.0
CHOLAFIN,2016.0,4214.0,1266.0,899.0
HDFCLIFE,2015.0,27215.0,26341.0,874.0
INDIGO,2013.0,9203.0,8348.0,855.0
BANKBARODA,2014.0,40463.0,12049.0,809.0
HDFCLIFE,2022.0,67126.0,66348.0,778.0
ICICIGI,2016.0,6033.0,5269.0,764.0
ICICIPRULI,2013.0,20025.0,19280.0,745.0
CHOLAFIN,2015.0,3715.0,1061.0,696.0
CANBK,2013.0,34070.0,7217.0,655.0
HDFCLIFE,2014.0,17166.0,16561.0,605.0
CHOLAFIN,2014.0,3279.0,932.0,578.0
INDIGO,2022.0,25931.0,25373.0,558.0
ICICIPRULI,2019.0,41463.0,40922.0,541.0
HDFCLIFE,2024.0,101482.0,100951.0,531.0
HDFCLIFE,2013.0,14060.0,13535.0,525.0
CHOLAFIN,2013.0,2570.0,688.0,472.0
INDIGO,2014.0,11117.0,10684.0,433.0
INDUSINDBK,2017.0,14406.0,5684.0,379.0
INDUSINDBK,2014.0,8254.0,2555.0,335.0
INDUSINDBK,2016.0,11872.0,4188.0,329.0
INDUSINDBK,2015.0,9692.0,3133.0,288.0
INDUSINDBK,2013.0,6983.0,1947.0,286.0
RECLTD,2024.0,47517.0,47883.0,101.0
IRFC,2024.0,26645.0,26513.0,100.0
IRFC,2013.0,5550.0,5528.0,100.0
IRFC,2018.0,9267.0,9229.0,100.0
IRFC,2019.0,11134.0,11085.0,100.0
IRFC,2014.0,6197.0,6178.0,100.0
IRFC,2015.0,6939.0,6905.0,100.0
IRFC,2017.0,9047.0,9021.0,100.0
IRFC,2020.0,13421.0,13355.0,100.0
IRFC,2022.0,20299.0,20177.0,99.0
IRFC,2021.0,15771.0,15657.0,99.0
IRFC,2016.0,7507.0,7468.0,99.0
IRFC,2023.0,23722.0,23588.0,99.0
RECLTD,2013.0,13634.0,13270.0,97.0
RECLTD,2014.0,17223.0,16650.0,97.0
RECLTD,2023.0,39486.0,37628.0,95.0
BAJAJHLDNG,2013.0,337.0,322.0,95.0
BAJAJHLDNG,2014.0,423.0,400.0,94.0
RECLTD,2015.0,20544.0,19395.0,94.0
RECLTD,2019.0,25408.0,23705.0,93.0
RECLTD,2016.0,24125.0,22445.0,93.0
