company_id,year,eps
DMART,2023.0,37.0
INFY,2018.0,37.0
TITAN,2023.0,37.0
GRASIM,2015.0,37.0
ICICIBANK,2022.0,36.0
HDFCBANK,2018.0,36.0
JSWSTEEL,2024.0,36.0
HAL,2017.0,36.0
TVSMOTOR,2024.0,36.0
TCS,2013.0,36.0
BANKBARODA,2024.0,36.0
UNIONBANK,2013.0,36.0
ONGC,2022.0,36.0
JINDALSTEL,2021.0,36.0
PFC,2021.0,36.0
TATAMOTORS,2013.0,35.0
CIPLA,2023.0,35.0
ICICIGI,2023.0,35.0
INFY,2019.0,35.0
HAL,2019.0,35.0
SUNPHARMA,2023.0,35.0
AXISBANK,2016.0,35.0
LT,2014.0,35.0
BRITANNIA,2016.0,34.0
HINDUNILVR,2021.0,34.0
LT,2015.0,34.0
INDUSINDBK,2015.0,34.0
PIDILITIND,2024.0,34.0
KOTAKBANK,2018.0,33.0
BAJFINANCE,2017.0,33.0
TATASTEEL,2022.0,33.0
M&M,2013.0,33.0
SIEMENS,2015.0,33.0
JSWSTEEL,2021.0,33.0
APOLLOHOSP,2020.0,33.0
ASIANPAINT,2021.0,33.0
DIVISLAB,2018.0,33.0
CHOLAFIN,2023.0,32.0
JSWSTEEL,2019.0,32.0
TECHM,2014.0,32.0
RECLTD,2021.0,32.0
ASIANPAINT,2022.0,32.0
SHRIRAMFIN,2023.0,32.0
SIEMENS,2017.0,32.0
DIVISLAB,2015.0,32.0
ICICIGI,2021.0,32.0
NESTLEIND,2023.0,31.0
CIPLA,2022.0,31.0
TECHM,2016.0,31.0
JINDALSTEL,2023.0,31.0
HINDUNILVR,2020.0,31.0
INFY,2017.0,31.0
JINDALSTEL,2013.0,31.0
HCLTECH,2018.0,31.0
AXISBANK,2015.0,31.0
TATAMOTORS,2018.0,31.0
LT,2016.0,31.0
AXISBANK,2023.0,31.0
SIEMENS,2019.0,31.0
SIEMENS,2021.0,31.0
VEDL,2021.0,31.0
M&M,2017.0,30.0
IOC,2024.0,30.0
PFC,2019.0,30.0
TORNTPHARM,2020.0,30.0
HCLTECH,2017.0,30.0
CIPLA,2021.0,30.0
HDFCBANK,2017.0,30.0
HAL,2018.0,30.0
RELIANCE,2020.0,29.0
BAJAJFINSV,2022.0,29.0
SUNPHARMA,2017.0,29.0
BRITANNIA,2015.0,29.0
RELIANCE,2019.0,29.0
BANKBARODA,2023.0,29.0
INFY,2016.0,29.0
TECHM,2017.0,29.0
DIVISLAB,2014.0,29.0
ASIANPAINT,2020.0,28.0
HAL,2014.0,28.0
TORNTPHARM,2017.0,28.0
BAJAJFINSV,2021.0,28.0
VEDL,2023.0,28.0
UNIONBANK,2015.0,28.0
VEDL,2018.0,28.0
COALINDIA,2019.0,28.0
ADANIENT,2024.0,28.0
HAL,2016.0,28.0
COALINDIA,2022.0,28.0
ONGC,2023.0,28.0
PNB,2013.0,28.0
HINDUNILVR,2019.0,28.0
ADANIPOWER,2023.0,28.0
TVSMOTOR,2023.0,28.0
KOTAKBANK,2017.0,27.0
ICICIBANK,2021.0,27.0
BPCL,2022.0,27.0
INFY,2015.0,27.0
COALINDIA,2013.0,27.0
TECHM,2015.0,27.0
COALINDIA,2020.0,27.0
RELIANCE,2018.0,27.0
UNIONBANK,2014.0,27.0
INDUSINDBK,2014.0,27.0
DRREDDY,2015.0,27.0
HINDALCO,2018.0,27.0
ICICIGI,2022.0,26.0
AXISBANK,2014.0,26.0
DRREDDY,2022.0,26.0
TATAMOTORS,2017.0,26.0
ICICIGI,2020.0,26.0
HCLTECH,2015.0,26.0
JSWSTEEL,2018.0,26.0
SBIN,2013.0,26.0
VEDL,2013.0,26.0
CHOLAFIN,2022.0,26.0
ADANIPORTS,2021.0,25.0
GRASIM,2019.0,25.0
SIEMENS,2018.0,25.0
DLF,2018.0,25.0
M&M,2015.0,25.0
DRREDDY,2016.0,25.0
M&M,2016.0,25.0
TECHM,2013.0,25.0
HDFCBANK,2016.0,25.0
ADANIPORTS,2021.0,25.0
NESTLEIND,2022.0,25.0
HAL,2015.0,25.0
SBIN,2021.0,25.0
PIDILITIND,2023.0,25.0
ADANIPORTS,2023.0,25.0
ADANIPORTS,2023.0,25.0
BAJFINANCE,2016.0,24.0
HINDALCO,2019.0,24.0
PIDILITIND,2022.0,24.0
RECLTD,2017.0,24.0
HINDUNILVR,2018.0,24.0
COALINDIA,2014.0,24.0
TITAN,2022.0,24.0
TECHM,2024.0,24.0
ONGC,2019.0,24.0
APOLLOHOSP,2015.0,24.0
DRREDDY,2020.0,24.0
VEDL,2017.0,23.0
DRREDDY,2021.0,23.0
DIVISLAB,2013.0,23.0
GODREJCP,2019.0,23.0
DRREDDY,2019.0,23.0
DRREDDY,2014.0,23.0
ICICIGI,2019.0,23.0
ADANIPORTS,2022.0,23.0
ADANIPORTS,2022.0,23.0
INFY,2014.0,23.0
TORNTPHARM,2022.0,23.0
APOLLOHOSP,2014.0,23.0
BANKBARODA,2014.0,23.0
DMART,2022.0,23.0
EICHERMOT,2014.0,23.0
BANKBARODA,2013.0,23.0
COALINDIA,2016.0,23.0
HCLTECH,2014.0,23.0
SBIN,2015.0,23.0
RECLTD,2019.0,22.0
PIDILITIND,2021.0,22.0
RECLTD,2016.0,22.0
RELIANCE,2017.0,22.0
SIEMENS,2020.0,22.0
AXISBANK,2013.0,22.0
ASIANPAINT,2019.0,22.0
ADANIENT,2023.0,22.0
SUNPHARMA,2015.0,22.0
AXISBANK,2021.0,22.0
TORNTPHARM,2015.0,22.0
NESTLEIND,2021.0,22.0
SBIN,2020.0,22.0
COALINDIA,2015.0,22.0
APOLLOHOSP,2013.0,22.0
PFC,2020.0,22.0
PIDILITIND,2020.0,22.0
NESTLEIND,2020.0,22.0
RELIANCE,2016.0,22.0
INFY,2013.0,21.0
HDFCBANK,2015.0,21.0
COALINDIA,2021.0,21.0
HAVELLS,2016.0,21.0
LODHA,2019.0,21.0
NTPC,2024.0,21.0
HINDUNILVR,2017.0,21.0
ZYDUSLIFE,2021.0,21.0
BPCL,2018.0,21.0
ONGC,2014.0,21.0
JINDALSTEL,2014.0,21.0
BAJAJFINSV,2020.0,21.0
VEDL,2014.0,21.0
ASIANPAINT,2018.0,21.0
BAJAJFINSV,2019.0,20.0
SHRIRAMFIN,2020.0,20.0
ASIANPAINT,2017.0,20.0
KOTAKBANK,2015.0,20.0
TORNTPHARM,2014.0,20.0
PFC,2018.0,20.0
RECLTD,2015.0,20.0
HINDUNILVR,2015.0,20.0
DMART,2020.0,20.0
SHRIRAMFIN,2022.0,20.0
INDUSINDBK,2013.0,20.0
ADANIENT,2014.0,20.0
UNIONBANK,2016.0,20.0
SHRIRAMFIN,2018.0,20.0
NESTLEIND,2019.0,20.0
HCLTECH,2016.0,20.0
TORNTPHARM,2018.0,20.0
SHRIRAMFIN,2019.0,20.0
PNB,2014.0,20.0
HAVELLS,2024.0,20.0
BPCL,2017.0,20.0
ADANIPORTS,2020.0,19.0
ADANIPORTS,2019.0,19.0
ADANIPORTS,2017.0,19.0
UNITDSPR,2024.0,19.0
VEDL,2019.0,19.0
SUNPHARMA,2016.0,19.0
CIPLA,2020.0,19.0
ONGC,2013.0,19.0
CIPLA,2019.0,19.0
SBIN,2014.0,19.0
KOTAKBANK,2016.0,19.0
SBILIFE,2024.0,19.0
HAVELLS,2022.0,19.0
BPCL,2016.0,19.0
IRCTC,2016.0,19.0
CHOLAFIN,2021.0,19.0
ONGC,2017.0,19.0
PFC,2016.0,19.0
CIPLA,2013.0,19.0
ADANIPORTS,2020.0,19.0
PIDILITIND,2018.0,19.0
RECLTD,2020.0,19.0
ADANIPORTS,2019.0,19.0
ADANIPORTS,2017.0,19.0
ZYDUSLIFE,2023.0,19.0
ICICIBANK,2015.0,19.0
HINDUNILVR,2016.0,19.0
ICICIGI,2018.0,19.0
ZYDUSLIFE,2016.0,19.0
ZYDUSLIFE,2019.0,18.0
HINDUNILVR,2013.0,18.0
HINDUNILVR,2014.0,18.0
ADANIPORTS,2018.0,18.0
IOC,2022.0,18.0
UNIONBANK,2024.0,18.0
