company_id,sales_volatility,sharpe_ratio,beta_proxy,max_drawdown_pct,risk_score
APOLLOHOSP,5590.660077536829,0.3421705532347778,0.10094998816467939,-6.11,2239.773860224791
HAL,5653.878099508563,0.4847005394835836,0.027994393440135837,0.0,2261.6264271327445
CIPLA,5861.513492527072,0.51255437577415,0.06531277357044879,0.0,2345.399098106464
DRREDDY,6038.754067877552,0.399817582091077,0.06988913910548802,-8.81,2419.1425923510396
CHOLAFIN,6195.812717535064,1.6866424089752226,0.11557614296355202,0.0,2478.949967464321
ZOMATO,6156.3125892394855,0.3891298542966552,0.6259812879500192,-23.45,2481.690531600498
ICICIGI,6501.807666787555,1.0218645197035727,0.19919164612535198,-8.09,2606.1120351178256
ADANIENSOL,6925.362886783361,0.0,0.0,-13.05,2774.0601547133447
ADANIPORTS,7856.560210324969,0.5443813092658224,0.1336845836614675,-3.51,3145.8063944939513
IRFC,7871.177165733152,0.8002846105658898,0.08026503929234935,0.0,3149.2758824685416
BHEL,8369.319691741028,-0.3901762216756625,0.16687582907770196,-64.61,3370.838569499641
ASIANPAINT,9089.189975473966,0.863896330252185,0.0940964262532381,-1.87,3637.255022384399
BAJAJ-AUTO,9329.605905876964,0.5623393310430381,0.10028076295801235,-8.62,3735.871638278903
AMBUJACEM,10189.84089229348,0.41838117614569525,0.3404926517240209,-15.63,4087.0168287757265
SHRIRAMFIN,10803.255532002546,0.5145754862362065,0.1462400135781596,0.0,4323.712437586346
SUNPHARMA,11391.69260627662,0.4169932448390169,0.22131258442778534,-16.12,4565.522300954364
TVSMOTOR,11489.17880007096,0.8506185601924289,0.11631075238815435,-6.5,4599.097116515954
RECLTD,11681.701829828804,0.5979240989557432,0.09838786531333861,-6.9,4676.120565138833
POWERGRID,12146.750892464606,0.9389738130347671,0.07835269685903361,-0.07,4859.349437109988
LTIM,12781.114450726278,0.6558199293642598,0.29134369490550643,0.0,5117.616834259258
HINDUNILVR,12959.662409044853,1.3055806758748951,0.058973175474220985,0.0,5183.738846451552
TATAPOWER,13030.075630474961,0.3104543346922526,0.13555849080505433,-24.87,5221.891967671393
ADANIPOWER,13357.862796869864,-0.21160118323763852,0.3724148144935067,-19.99,5356.802016221054
JINDALSTEL,13995.903533919103,-0.31778386110161444,0.23911391149005337,-26.37,5611.372475658544
TECHM,14021.958924377259,0.36115875752886856,0.47816389963878675,-2.43,5618.714688986151
INDUSINDBK,14068.038713922075,0.7794650234832505,0.09015574385531515,0.0,5628.239135422453
ITC,14463.065221541528,0.8407450633100562,0.07376552588538571,-0.27,5785.941654071009
TITAN,15383.615772749583,0.45230866076425397,0.1351479847725768,-5.35,6157.30196013452
KOTAKBANK,16256.564247743916,2.7468913069955025,0.14738094669366053,-1.95,6503.411426724445
DMART,17804.99374311341,1.2831135116990124,0.1280549066598851,-2.92,7124.151481866862
WIPRO,18224.87854765905,0.6162858535901138,0.08651770020449437,-1.87,7291.62648721412
ULTRACEMCO,18704.310423275605,0.2966207373755651,0.10447427841539586,0.0,7483.517034141175
BAJFINANCE,19176.68759102146,1.403838353213064,0.1369762101515295,0.0,7672.010722258401
INDIGO,22312.768047373625,-0.04254524617641612,0.397474930118457,-59.05,8950.814262797996
ICICIPRULI,24924.418563544652,-0.22743130783558652,0.9366101186468472,-49.29,10003.514059098636
PNB,25154.476769069177,-0.1979067263855532,0.1507489693747776,-6.95,10067.088593741551
MOTHERSON,25580.399227553615,0.5787083228410488,0.11252929791045323,-9.69,10236.738568656814
M&M,26328.784096010942,-0.05672240140722707,0.15065402341159492,-29.07,10543.304441274016
BHARTIARTL,26888.85239634276,-0.3063773191746322,0.09348688690565465,-16.32,10762.613073594393
COALINDIA,26998.29300278265,0.2707022803609731,0.10094148291884353,-9.6,10803.945328491076
PFC,28063.930070922732,0.3934093116100535,0.1997889859877246,-1.0,11229.474398777238
CANBK,28120.306311932716,-0.607203978807976,0.13730078884946723,-6.12,11253.311744528884
UNIONBANK,28936.73525522133,-0.310783115956869,0.23574667973502794,-1.56,11580.187818799192
AXISBANK,29133.930038262242,0.35480601286528374,0.08501432491402885,0.0,11654.917495790312
BANKBARODA,29743.85085340739,-0.09263701426286826,0.15902926390565025,-6.98,11902.907563655332
ADANIENT,30102.001427198767,0.4211215279961222,0.36670217497139973,-47.25,12061.88849285094
HDFCLIFE,30904.592156075014,0.7604845778555657,0.4840931896784407,-33.34,12380.76024164572
HCLTECH,31033.66234306027,0.6443081858225125,0.15883612980082099,-15.16,12420.545351634302
MARUTI,33821.11372637376,0.5265809789923305,0.13403331420573136,-18.24,13536.071575854628
GAIL,35366.32070313398,0.38714195153044245,0.2772832892446645,-24.7,14159.096805086954
BAJAJFINSV,38746.15115178439,1.4905007399791113,0.3041626556157077,-25.23,15510.622213086092
GRASIM,39609.414772118806,0.29292136018951415,0.1777006533695324,-11.59,15850.504000554725
INFY,41095.681693566956,1.7108836634554403,0.07381817405446538,0.0,16438.038157244417
SBILIFE,41100.84024688546,1.6324062183343524,0.3214841037230225,-17.42,16450.35937461031
VEDL,41172.12149108815,-0.1669318509110136,6.635459997513784,-12.82,16605.570728236453
NTPC,42154.61642678941,0.3834094974959412,0.10344325945037475,-8.21,16865.99502640728
ICICIBANK,42570.691722484014,0.5207005770862007,0.09225025934552517,0.0,17029.60099360343
TATASTEEL,50595.77771656038,0.056035841174631215,0.21048893433350085,-31.39,20251.881829469647
LT,50855.71484299781,0.6267497915527254,0.06773138635043302,-6.51,20344.96681513458
JSWSTEEL,51909.65719821214,-0.11488693567676116,0.27497868284708943,-21.57,20775.94833987748
HINDALCO,53931.1113124645,-0.1681273576449382,0.1497243981560209,-9.5,21578.457140306564
TCS,61307.82415736392,1.015233709972798,0.07803492764388856,0.0,24523.675127788476
TATAMOTORS,73529.01578000977,0.11811008478219064,0.1234437274817192,-17.27,29419.13807646876
HDFCBANK,90262.06141101956,2.9459816567866435,0.15553288051110886,0.0,36104.98924036127
SBIN,92049.49222697313,0.3155336908107334,0.07457951577082451,-0.64,36821.16494741387
BPCL,97800.2870850094,0.36368571785775244,0.22140188810599937,-28.97,39132.87018604802
LICI,116169.28194152495,0.45080413229189004,0.021254707139684408,0.0,46467.68706662049
IOC,166741.7871573382,-0.20359911413961201,0.26040604039733367,-31.09,66711.45358285739
ONGC,186806.78772114334,0.32522035634080504,0.4222473303954994,-28.76,74739.4628147089
RELIANCE,231204.3193498461,1.0544025674227462,0.24212747721196268,-37.12,92496.65188691526
