company_id,year,operating_activity,investing_activity,financing_activity,capital_allocation
CIPLA,2019.0,1691.0,-1688.0,-349.0,Reinvestor
CIPLA,2020.0,3068.0,114.0,-2949.0,Liquidating Assets
CIPLA,2021.0,3755.0,-2374.0,-1240.0,Reinvestor
CIPLA,2022.0,3326.0,-1858.0,-1600.0,Reinvestor
CIPLA,2023.0,3238.0,-2376.0,-958.0,Reinvestor
CIPLA,2024.0,4134.0,-2982.0,-1200.0,Reinvestor
COALINDIA,2013.0,9109.0,-1833.0,-7852.0,Reinvestor
COALINDIA,2014.0,14525.0,8580.0,-25350.0,Liquidating Assets
COALINDIA,2015.0,14382.0,894.0,-15026.0,Liquidating Assets
COALINDIA,2016.0,13154.0,8154.0,-19587.0,Liquidating Assets
COALINDIA,2017.0,16461.0,455.0,-17598.0,Liquidating Assets
COALINDIA,2018.0,21115.0,-7747.0,-13564.0,Reinvestor
COALINDIA,2019.0,16356.0,-7896.0,-10885.0,Reinvestor
COALINDIA,2020.0,4977.0,1033.0,-4791.0,Liquidating Assets
COALINDIA,2021.0,10592.0,182.0,-8453.0,Liquidating Assets
COALINDIA,2022.0,41107.0,-25715.0,-13441.0,Reinvestor
COALINDIA,2023.0,35734.0,-23465.0,-13704.0,Reinvestor
COALINDIA,2024.0,18103.0,-4486.0,-13899.0,Reinvestor
DABUR,2013.0,870.0,-622.0,-234.0,Reinvestor
DABUR,2014.0,1098.0,-104.0,-804.0,Reinvestor
DABUR,2015.0,1047.0,-876.0,-417.0,Reinvestor
DABUR,2016.0,1187.0,-730.0,-374.0,Reinvestor
DABUR,2017.0,1227.0,-807.0,-339.0,Reinvestor
DABUR,2018.0,1092.0,-541.0,-577.0,Reinvestor
DABUR,2019.0,1499.0,338.0,-1888.0,Liquidating Assets
DABUR,2020.0,1614.0,-517.0,-1043.0,Reinvestor
DABUR,2021.0,2115.0,-1404.0,-613.0,Reinvestor
DABUR,2022.0,1802.0,-1273.0,-490.0,Reinvestor
DABUR,2023.0,1488.0,-583.0,-1035.0,Reinvestor
DABUR,2024.0,2013.0,-971.0,-1161.0,Reinvestor
DIVISLAB,2013.0,480.0,-255.0,-231.0,Reinvestor
DIVISLAB,2014.0,557.0,-305.0,-248.0,Reinvestor
DIVISLAB,2015.0,826.0,-521.0,-303.0,Reinvestor
DIVISLAB,2016.0,1038.0,-406.0,-631.0,Reinvestor
DIVISLAB,2017.0,1150.0,-1140.0,2.0,Mixed
DIVISLAB,2018.0,776.0,-478.0,-314.0,Reinvestor
DIVISLAB,2019.0,954.0,-685.0,-246.0,Reinvestor
DIVISLAB,2020.0,1216.0,-83.0,-1091.0,Reinvestor
DIVISLAB,2021.0,1947.0,75.0,-35.0,Liquidating Assets
DIVISLAB,2022.0,1912.0,-2195.0,-532.0,Reinvestor
DIVISLAB,2023.0,2459.0,-2707.0,-797.0,Reinvestor
DIVISLAB,2024.0,1261.0,-269.0,-799.0,Reinvestor
DLF,2013.0,2009.0,1995.0,-3951.0,Liquidating Assets
DLF,2014.0,1468.0,3924.0,-4532.0,Liquidating Assets
DLF,2015.0,2037.0,98.0,-1547.0,Liquidating Assets
DLF,2016.0,2957.0,-818.0,-1929.0,Reinvestor
DLF,2017.0,-898.0,872.0,787.0,Distress Signal
DLF,2018.0,270.0,-2102.0,-232.0,Reinvestor
DLF,2019.0,2043.0,3.0,875.0,Cash Accumulator
